web-scraper-order,web-scraper-start-url,nama,caption,ulasan,ulasan_preprocessed,label,sentiment,score;;;;;;
"1680415691-5,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,travelerpg32,Wisata Alam Awesome,""Selain suhunya yang dingin, Wisata Candi, Kawah Sikidang, dan telaga warnanya menghadirkan pesona wisata alam yang luar biasa. Pemandangan dari atas bukit dekat kawah di Kawah Sikidang juga telaga warna......Awesome...."",""suhunya dingin , wisata candi , kawah sikidang , telaga warnanya menghadirkan pesona wisata alam . pemandangan bukit kawah kawah sikidang telaga warna ...... awesom ...."",positive,""[{'label': 'positive', 'score': 0.9761555194854736}]"",0.9761555194854736";;;;;;
"1680415691-6,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,banyumilijohar,Banyumili Johar syariah dieng,Full house 3 bedroom.penginapan rumah kayu yang tepat berada dekat dengan area wisata yang ada di Dieng .nikmati weekend dengan menginap di banyumili Johar beserta keluarga anda,full hous 3 bedroom.penginapan rumah kayu area wisata dieng .nikmati weekend menginap banyumili johar beserta keluarga,negative,""[{'label': 'negative', 'score': 0.9554328918457031}]"",0.9554328918457031";;;;;;
"1680415691-7,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,sonyliem,Indah dan menakjubkan,""Berada di daerah dingin dan tinggi.";;;;;;
Perjalanan dari kota Wonosobo ke Dieng sendiri cukup lama, apalagi jika macet.;;;;;;
;;;;;;
Di dieng ada beberapa tempat wisata dan berbeda arah.;;;;;;
Jadi mesti ditentukan tujuan utama nya kemana dan mesti dikunjungi lebih dahulu.;;;;;;
Karena berada di daerah tinggi, kawasan ini mudah hujan.;;;;;;
Jadi disarankan sepagi mungkin sudah di lokasi, karena siang atau sore hari seringkali hujan.;;;;;;
;;;;;;
Tujuan wisata mesti ditetapkan sebelumnya karena di tiap wisata akan ada tiket masuk.;;;;;;
Meskipun kelihatannya kecil, tetapi jika perginya rombongan, nilainya akan jadi lumayan besar..apalagi jika kita mau pergi ke semua lokasi.;;;;;;
;;;;;;
Obyek wisata Dieng dimiliki oleh 2-3 pemerintah daerah, jadi masing masing mengutip biaya utk masuk utk pendapatan mereka.;;;;;;
;;;;;;
Sebenarnya akan lebih baik jika pemda yg berkaitan membentuk badan bersama sehingga biaya masuk utk turis lebih ringan jika mau ke beberapa lokasi.;;;;;;
Oh ya, biaya untuk turis asing lebih mahal beberapa kali lipat.;;;;;;
"Mungkin itu sebabnya tidak banyak orang asing kesana.. atau mungkin karena turis asing lebih mencari tempat yang panas atau hangat."",""daerah dingin . perjalanan kota wonosobo dieng , macet . dieng wisata berbeda arah . mesti ditentukan tujuan utama nya kemana mesti dikunjungi . daerah , kawasan mudah hujan . disarankan sepagi lokasi , siang sore seringkali hujan . tujuan wisata mesti ditetapkan wisata tiket masuk . , perginya rombongan , nilainya lumayan .. pergi lokasi . obyek wisata dieng dimiliki 2-3 pemerintah daerah , mengutip biaya utk masuk utk pendapatan . pemda yg berkaitan membentuk badan biaya masuk utk turi ringan lokasi . oh ya , biaya turi ase mahal kali lipat . orang ase kesana .. turi ase mencari pana hangat ."",negative,""[{'label': 'negative', 'score': 0.9866943359375}]"",0.9866943359375";;;;;;
"1680415691-8,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Lisiatraveler,Dataran tinggi dieng,""Dieng plateau,telaga warna,kawah sikidang and many more.dan warung makan dps, ayamnya cukup rekomendasi deh"",""dieng plateau , telaga warna , kawah sikidang and mani more.dan warung makan dp , ayamnya rekomendasi deh"",negative,""[{'label': 'negative', 'score': 0.8618779182434082}]"",0.8618779182434082";;;;;;
"1680415691-9,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,yudhip1970,Bersama si encum naik gunung,""Pengalaman pertama dan luar biasa dengan menempuh jarak kurang lebih 400 km dari Depok menuju Dieng Wonosobo. Melihat pemandangan pegunungan dengan jalan tanjakan membuat perjalanan kami sangat berkesan, ditambah baru pertama naik Dieng menambah sensasi tersendiri. Pulang dari Dieng menuju Tuban dengan jarang tempuh kurang lebih 400 km menyusuri pegunungan Merbabu."",""pengalaman menempuh jarak 400 km depok dieng wonosobo . pemandangan pegunungan jalan tanjakan perjalanan berkesan , ditambah dieng menambah sensasi tersendiri . pulang dieng tuban jarang tempuh 400 km menyusuri pegunungan merbabu ."",negative,""[{'label': 'negative', 'score': 0.72066730260849}]"",0.72066730260849";;;;;;
"1680415691-10,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Mitra P,Best Place for stay,""Salah satu tempat berlibur terbaik di pulau Jawa.";;;;;;
Banyak spot dan angle photo yg menarik.;;;;;;
"Tempat parkir sangat memadai. Penduduk dan para penjual makanan di sekitar Sikunir sangat ramah"",salah berlibur terbaik pulau jawa . spot angl photo yg menarik . parkir memadai . penduduk penjual makanan sikunir ramah,negative,""[{'label': 'negative', 'score': 0.9393324851989746}]"",0.9393324851989746";;;;;;
"1680415691-11,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,suzilawatibachtart,MASYA ALLAH 🥰🥰,""Jam 03.00 pagi, walo ngantuk, gw berusaha untuk sampe ke Puncak Sikunir Dieng buat ngeliat sunrise. Lelah hayati terbayar menyaksikan kebesaran ALLAH SWT. Jadi terharu, kelen gak bakalan nyesel klo liburan ke sini guys. Banyak objek wisatanya : Candi Arjuna, Telogo Warno, Kawah Sikidang, etc. Semuanya kerreen2"",""jam 03.00 pagi , walo ngantuk , gw berusaha samp puncak sikunir dieng ngeliat sunris . lelah hayati terbayar menyaksikan kebesaran allah swt . terharu , kelen gak nyesel klo liburan guy . objek wisatanya : candi arjuna , telogo warno , kawah sikidang , etc . kerreen2"",negative,""[{'label': 'negative', 'score': 0.9128159880638123}]"",0.9128159880638123";;;;;;
"1680415691-12,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,muhammadf41z,Best natural place with exotic food,""Nama Dieng berasal dari gabungan dua kata bahasa Kawi: """"di"""" yang berarti """"tempat"""" atau """"gunung"""" dan """"Hyang"""" yang bermakna (Dewa). Dengan demikian, Dieng berarti daerah pegunungan tempat para dewa dan dewi bersemayam (wikipedia). Ini daerah wisata khas jawa tengah yang sudah sangat terkenal. Bisa buat hiking, wisata sejarah, camping atau sekedar jalan-jalan bersama keluarga. Disini juga bisa sekalian belanja oleh-oleh khas dieng yaitu Carica, souvenir kerajinan tangan, terkadang ada juga yang menjual bunga edelweiss. Di lokasi ini juga tersedia berbagai penginapan berkonsep Guest house dengan harga yang ramah di kantong. Anda bisa menyantap makan siang khas wonosobo mie ongklok dengan tempe kemulnya, atupun menikmati kuliner lain yang di jual oleh masyarakat sekitar. Untuk mencapai Dieng bisa dengan transportasi umum dari kota wonosobo yaitu Bus. Jangan lupa bawa jaket karena meskipun siang hari udaranya sangat dingin lho."",""nama dieng beras gabungan bahasa kawi : `` '' `` '' `` gunung '' `` hyang '' bermakna ( dewa ) . , dieng daerah pegunungan dewa dewi bersemayam ( wikipedia ) . daerah wisata kha jawa terken . hike , wisata sejarah , camp sekedar jalan-jalan keluarga . belanja oleh-oleh kha dieng carica , souvenir kerajinan tangan , terkadang menjual bunga edelweiss . lokasi tersedia penginapan berkonsep guest hous harga ramah kantong . menyantap makan siang kha wonosobo mie ongklok temp kemulnya , atupun menikmati kulin jual masyarakat . mencapai dieng transportasi kota wonosobo bu . lupa bawa jaket siang udaranya dingin lho ."",negative,""[{'label': 'negative', 'score': 0.8298134207725525}]"",0.8298134207725525";;;;;;
"1680415691-13,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Jengajeng,Agustus di Dieng,""1. Penduduk Dieng sangat ramah terhadap pengunjung atau wisatawan.";;;;;;
2. Kami menginap di Homestay (rumah Pa Medi) yg terdiri dari dua lantai dengan dua kamar, ruang tamu luas, toilet dgn water heater, dan dapur nyaman dgn tarif 650K/malam. Cukup memuaskan meski lokasi homestay tidak berada di pinggir jalan utama. ;;;;;;
3. Homestay pa medi adalah rumah terdingin yang pernah kami tempati. Super dingin;;;;;;
4. Dieng sangat ramai di sore hari lengkap dengan jajanan khas Dieng.;;;;;;
5. Jangan lupa untuk selalu mengenakan jaket, sarung tangan, dan sepatu musnah karena suhu Dieng sangat dingin;;;;;;
;;;;;;
"6. Dieng bener² kota romantis."",""1. penduduk dieng ramah pengunjung wisatawan . 2. menginap homestay ( rumah pa medi ) yg lantai kamar , ruang tamu lua , toilet dgn water heater , dapur nyaman dgn tarif 650k/malam . memuaskan lokasi homestay pinggir jalan utama . 3. homestay pa medi rumah terdingin tempati . super dingin 4. dieng ramai sore lengkap jajanan kha dieng . 5. lupa mengenakan jaket , sarung tangan , sepatu musnah suhu dieng dingin 6. dieng bener² kota romanti ."",positive,""[{'label': 'positive', 'score': 0.8796390891075134}]"",0.8796390891075134";;;;;;
"1680415691-14,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,DiahFY,Dieng negeri diatas awan,""Kawasan Dieng memiliki pemandangan yang sangat indah, langit yang bersih, udara yang sejuk sun rise terbaik dapat kita saksikan di berbagai bukit dideng, kami mengunjungi bukit scooter saat sunrise. Perjuangan mendaki bukit scooter pukul 04.00 terbayar dengan keindahan view yang kami dapat. Dieng negeri diatas awan yang membuat saya berjanji untuk berkunjung kembali satu saat"",""kawasan dieng memiliki pemandangan indah , langit bersih , udara sejuk sun rise terbaik saksikan bukit dideng , mengunjungi bukit scooter sunris . perjuangan mendaki bukit scooter 04.00 terbayar keindahan view . dieng negeri diata awan berjanji berkunjung"",positive,""[{'label': 'positive', 'score': 0.6429241299629211}]"",0.6429241299629211";;;;;;
"1680415691-15,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,adel_dy,Liburan,Disana dingin tapi tetep seru karna pergi bareng2 sama temen2 dan anak2. Dinginnya jadi ga kerasa karena rame2,disana dingin tetep seru karna pergi bareng2 temen2 anak2 . dinginnya ga kerasa rame2,negative,""[{'label': 'negative', 'score': 0.9568946957588196}]"",0.9568946957588196";;;;;;
"1680415691-16,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,mitapuspa1,Liburan keluarga,""Udara dieng sangat segar,  kita bisa melihat danau, candi, museum dan bila ingin bisa melihat sun rise yg bagus"",""udara dieng segar , danau , candi , museum sun rise yg bagu"",negative,""[{'label': 'negative', 'score': 0.8694786429405212}]"",0.8694786429405212";;;;;;
"1680415691-17,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,KgbS1,Dieng Plateu....,jika ingin merasakan puncak dinginnya dataran tinggi dieng sekarang ini lah saatnya.... pada bulan juli-agustus biasanya dieng memasuki puncak cuaca dingin sampai di bawah 0 derajat celcius. pada waktu sebelum subuh kita bisa kita lihat embun yg membeku di rerumputan dan dedaunan.... hal ini sangat tidak diinginkan oleh para petani di dataran tinggi Dieng...karena cuaca yg extreme dingin membuat tanaman mereka mati dan gagal panen. Kentang akan membusuk karena beku ...daun daun sayuran akan layu ... setelah spt hangus dan mengering atau membusuk.,merasakan puncak dinginnya dataran dieng .... juli-agustu dieng memasuki puncak cuaca dingin 0 derajat celciu . subuh lihat embun yg membeku rerumputan dedaunan .... petani dataran dieng ... cuaca yg extrem dingin tanaman mati gagal panen . kentang membusuk beku ... daun daun sayuran layu ... spt hangu menger membusuk .,negative,""[{'label': 'negative', 'score': 0.9958571791648865}]"",0.9958571791648865";;;;;;
"1680415691-18,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,astuti_suryandari,Dataran Tinggi Dieng,""Negeri di atas awan";;;;;;
Musim kemarau panjang telah dimulai...;;;;;;
Butiran Es seringkali hadir menyapa kita di Pagi Hari....;;;;;;
Menikmati dinginnya pagi serasa di Eropa...Menanti mentari yang hadir....;;;;;;
Sejenakenwpi dari hinggar binggar dan hiruk pikuk kota.....;;;;;;
"Menikmati atmosfir bumi yang sebenarnya..."",negeri awan musim kemarau ... butiran es seringkali hadir menyapa pagi .... menikmati dinginnya pagi serasa eropa ... mentari hadir .... sejenakenwpi hinggar binggar hiruk pikuk kota ..... menikmati atmosfir bumi ...,negative,""[{'label': 'negative', 'score': 0.9398994445800781}]"",0.9398994445800781";;;;;;
"1680415691-19,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,29siskalie,Suasana nya sejuk dan dingin nampol,""Ada beberapa wisata yg bisa anda datangi di dataran tinggi Dieng ini,salah satu nya, adalah kompleks percandian, kawah sikidang, telaga warna dan banyak lagi wisata baru yg bisa anda telusuri di dieng ini. Untuk kompleks percandian, sebagian candi sedang dlm proses pemugaran. Untuk tiket masuk seharga Rp.15 rb saja,sudah termasuk ke kawah sikidang. Ingat!!! Tunjukan langsung tiket yg anda beli di kompleks percandian jika ingin masuk ke wisata kawah sikidang,karena jika anda lupa menunjukannya,anda akan dipungut biaya masuk lg sebesar Rp.15rb juga per orang (khusus anak² 12 th ke bawah,masih di gratiskan). Untuk kawah sikidang,karena baru masuk lokasoi saja sudah tercium bau belerang yg menyengat,jado sy tidak berani untuk masuk dan melihat secara dekat lokasi kawahnya. Tapi untuk keseluruhannya,sy menyukai pemandangan alamnya dan atmosphere disana. Untuk tempat wisata lainnya juga,sy tidak sempat menjelajah lebih jauh karena kepepet waktu. Semoga bermanfaat untuk yg sedang mempertimbangkan untuk menuju wisata dieng ini. Terima kasih."",""wisata yg datangi dataran dieng , salah nya , komplek percandian , kawah sikidang , telaga warna wisata yg telusuri dieng . komplek percandian , candi dlm prose pemugaran . tiket masuk seharga rp.15 rb , kawah sikidang . ! ! ! tunjukan langsung tiket yg beli komplek percandian masuk wisata kawah sikidang , lupa menunjukannya , dipungut biaya masuk lg rp.15rb orang ( khusu anak² 12 th , gratiskan ) . kawah sikidang , masuk lokasoi tercium bau belerang yg menyengat , jado sy berani masuk lokasi kawahnya . , sy menyukai pemandangan alamnya atmospher disana . wisata , sy menjelajah kepepet . semoga bermanfaat yg mempertimbangkan wisata dieng . terima kasih ."",positive,""[{'label': 'positive', 'score': 0.5205777287483215}]"",0.5205777287483215";;;;;;
"1680415691-20,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,javamarinaholiday,Wisata ke Dieng,""Liburan yang menyenangkan, hawanya dingin sehingga enggan untuk kembali ke jakarta, banyak tempat yang masih alami dan bersejarah"",""liburan menyenangkan , hawanya dingin enggan jakarta , alami bersejarah"",negative,""[{'label': 'negative', 'score': 0.9390201568603516}]"",0.9390201568603516";;;;;;
"1680415691-21,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Dyna_Viera,Having Fun with my co-workers,""Menunggu sunrise dr puncak sikunir sgt luar biasa dan bisa naik ke atas membutuhkan semangat dan tenaga yg ngos2 an tpi g trasa capek hatipun sng rame2 dgn tman2 ..";;;;;;
"Puncak sikunir..I love"",menunggu sunris dr puncak sikunir sgt membutuhkan semangat tenaga yg ngos2 an tpi g trasa capek hatipun sng rame2 dgn tman2 .. puncak sikunir .. i love,negative,""[{'label': 'negative', 'score': 0.94511878490448}]"",0.94511878490448";;;;;;
"1680415691-22,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,raschelhtp,Mengejar Sunset di Dieng,""Disarankan tiba disini pagi hari pukul 05.00 dengan pakaian tebal dan hangat karena disini sangat dingin, terutama di Musim Kemarau. Dataran Tinggi Dieng adalah satu lokasi wisata. Di dataran tingginya, bisa menikmati sunset. Jalan sedikit lagi ada candi arjuna. Di tempat lain ada kawah, danau, dll. Jangan lupa bawa kendaraan sendiri jika ke tempat ini karena jika harus jalan kaki, agak jauh"",""disarankan pagi 05.00 pakaian tebal hangat dingin , musim kemarau . dataran dieng lokasi wisata . dataran tingginya , menikmati sunset . jalan candi arjuna . kawah , danau , dll . lupa bawa kendaraan jalan kaki ,"",negative,""[{'label': 'negative', 'score': 0.9297507405281067}]"",0.9297507405281067";;;;;;
"1680415691-23,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,duljogjatransport,Dul Jogja Transport trip with rob&bryn from New Zeland,""Kita mulai perjalanan dari Jogja kira2 memakan waktu 4 jam, sesampai di Dieng kita menuju candi Arjuna terlebih dahulu kemudian dilanjutkan ke kawah Sikidang dan terakhir kita ke gardu pandang telaga tiga warna yg mana disana dilengkapi teater untuk mengetahui tentang Dieng."",""perjalanan jogja kira2 memakan 4 jam , dieng candi arjuna dilanjutkan kawah sikidang gardu pandang telaga warna yg disana dilengkapi teater dieng ."",negative,""[{'label': 'negative', 'score': 0.9646068811416626}]"",0.9646068811416626";;;;;;
"1680415691-24,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,JavaTourExplore,Amazing Dieng Explore,""Jelajah Wisata Jawa di daerah Pegunungan Dieng.";;;;;;
"Dieng terdiri dari kata """"di"""", berarti """"tempat"""" atau """"gunung"""" & Hyang berarti Tuhan.";;;;;;
Dengan demikian, Dieng berarti gunung, tempat tinggal para dewa.;;;;;;
Gunung sebagai tempat perlindungan atau tempat tinggal arwah leluhur telah dikenal sejak zaman prasejarah di Nusantara. Dieng merupakan gunung api aktif hingga saat ini, aktivitas vulkanik dapat ditemukan sebagai kawah yang mengeluarkan gas dan uap air, & terdapat lumpur mendidih di kawah Sikidang.;;;;;;
"Selain itu, Kawasan Dieng dapat dijumpai bangunan candi-candi. Candi tersebut dianggap tertua di Indonesia berdasarkan peninggalan berbagai prasasti yang ditemukan."",""jelajah wisata jawa daerah pegunungan dieng . dieng `` '' , `` '' `` gunung '' & hyang tuhan . , dieng gunung , tinggal dewa . gunung perlindungan tinggal arwah leluhur diken zaman prasejarah nusantara . dieng gunung api aktif , aktivita vulkanik ditemukan kawah mengeluarkan ga uap air , & lumpur mendidih kawah sikidang . , kawasan dieng dijumpai bangunan candi-candi . candi dianggap tertua indonesia berdasarkan peninggalan prasasti ditemukan ."",negative,""[{'label': 'negative', 'score': 0.8897576332092285}]"",0.8897576332092285";;;;;;
"1680415691-25,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,PepenJ2,Trip dieng - gn.prau,""Cantik.......! Dataran tinggi dieng menampilkan pemandangan indah, udara segar, masyarakat yg cukup memanjakan para tamu yg datang ke dataran tingggi dieng.";;;;;;
"Segera mengulang lagi untuk datang ke gn prau dan menikmati dieng lagiii."",""cantik ....... ! dataran dieng menampilkan pemandangan indah , udara segar , masyarakat yg memanjakan tamu yg dataran tingggi dieng . mengulang gn prau menikmati dieng lagiii ."",negative,""[{'label': 'negative', 'score': 0.8477110862731934}]"",0.8477110862731934";;;;;;
"1680415691-26,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Octa27,Ingin tinjau negeri di awan,Sangat ingin menjelajahii negeri di atas awan ...dengan pemandangan yang sangat bagus dan sangat alami,menjelajahii negeri awan ... pemandangan bagu alami,negative,""[{'label': 'negative', 'score': 0.9402552843093872}]"",0.9402552843093872";;;;;;
"1680415691-27,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,KUWAT_BASUKI,Pesona negeri diatas awan,Udaranya sangat sejuk.. Dg pemandangan yg luar biasa dan berbagai kuliner yg enak.. Murah.. Dan terjangaku,udaranya sejuk .. dg pemandangan yg kulin yg enak .. murah .. terjangaku,negative,""[{'label': 'negative', 'score': 0.9342324733734131}]"",0.9342324733734131";;;;;;
"1680415691-28,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Anie T,Dataran Tinggi Dieng,""Kalau mau berkunjung jangan pas musim hujan, waktu yang pas itu datang di bulan Agustus, ada acara dieng festival."",""berkunjung pa musim hujan , pa agustu , acara dieng festiv ."",negative,""[{'label': 'negative', 'score': 0.9592756032943726}]"",0.9592756032943726";;;;;;
"1680415691-29,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,yayansupardi,Jalan menuju dieng,""Ga bakalan rugi kalau liburan kesini";;;;;;
"Ribuan pemandangan alam indah nan eksotis siao menjamu kita. Kuliner nusantara berjejer sepanjang jalan. Setiap jumat, sabtu dan minggu selalu rame pengunjung.  Boking penginapan jauh jauh hari biar kebagian tempat.  Malam tahun baru fan agustus hotel hampir selalu full dan susah cari yang kosong"",""ga rugi liburan kesini ribuan pemandangan alam indah nan eksoti siao menjamu . kulin nusantara berjej jalan . jumat , sabtu minggu rame pengunjung . boke penginapan biar kebagian . malam fan agustu hotel full susah cari kosong"",negative,""[{'label': 'negative', 'score': 0.8387237787246704}]"",0.8387237787246704";;;;;;
"1680415691-30,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,yudhistira_budi,Beautiful,""Sampai Dieng malam, penerangan minim.";;;;;;
"Desa tertinggi di pulau jawa ini sungguh menawan, hanya saja perlu ditingkatkan pengelolaannya."",""dieng malam , penerangan minim . desa tertinggi pulau jawa sungguh menawan , ditingkatkan pengelolaannya ."",negative,""[{'label': 'negative', 'score': 0.968326210975647}]"",0.968326210975647";;;;;;
"1680415691-31,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,KamalFaza,Trip dieng,""Dieng sangat bagus, cocok buat honeymoon,family gathering,dll.";;;;;;
"Di Dieng lebih baik naik elf atau mobil pribadi.berangkat paling baik jam 3 pagi biar gak kehalang kabut.sikunir,Sikidang,gunung Prau,telaga warna destinasi utama."",""dieng bagu , cocok honeymoon , famili gather , dll . dieng elf mobil pribadi.berangkat jam 3 pagi biar gak kehalang kabut.sikunir , sikidang , gunung prau , telaga warna destinasi utama ."",negative,""[{'label': 'negative', 'score': 0.6775610446929932}]"",0.6775610446929932";;;;;;
